waktu,latitude,longitude,propeller_speed1,propeller_speed2,propeller_speed3,propeller_speed4,str1_target,str2_target,str3_target,str4_target,heading,heading_target,navigation_mode_text,position_error,dir_error,payout,lat_chute,long_chute
11:17:28,1.6533388071438695,101.51929189617022,0,0,0,0,-19,-15,-15,-19,-188,180,forward,0,0,802.0,1.6534177627321236,101.51920819335608
11:17:30,1.15324449,103.89435777,0,0,0,0,-19,-15,-15,-20,-188,180,forward,0,0,803.0,1.1533234455882542,103.89427408508112
11:17:32,1.15324447,103.89435777,0,0,0,0,-20,-15,-15,-20,-188,180,forward,0,0,804.0,1.153323435588254,103.89427408508112
11:17:34,1.15324447,103.89435778,0,0,0,0,-20,-15,-15,-20,-188,180,forward,0,0,804.0,1.153323425588254,103.89427409508113
11:17:37,1.15324445,103.89435778,0,0,0,0,-20,-15,-16,-20,-188,180,forward,0,0,805.0,1.1533234055882542,103.89427409508113
11:17:39,1.15324443,103.89435779,0,0,0,0,-20,-16,-16,-20,-188,180,forward,0,0,806.0,1.153323385588254,103.89427410508112
11:17:41,1.15324442,103.89435779,0,0,0,0,-20,-16,-16,-21,-188,180,forward,0,0,807.0,1.1533233755882542,103.89427410508112
11:17:43,1.1532444,103.8943578,0,0,0,0,-20,-16,-16,-21,-188,180,forward,0,0,807.0,1.1533233655882542,103.89427411508112
11:17:45,1.1532444,103.8943578,0,0,0,0,-21,-16,-16,-21,-188,180,forward,0,0,808.0,1.153323355588254,103.89427411508112
11:17:47,1.15324438,103.89435781,0,0,0,0,-21,-16,-16,-21,-188,180,forward,0,0,809.0,1.1533233355882542,103.89427412508113
11:17:50,1.15324437,103.89435781,0,0,0,0,-21,-16,-16,-21,-188,180,forward,0,0,809.0,1.153323325588254,103.89427412508113
11:17:52,1.15324435,103.89435782,0,0,0,0,-21,-16,-17,-21,-188,180,forward,0,0,810.0,1.153323315588254,103.89427413508112
11:17:54,1.15324435,103.89435782,0,0,0,0,-21,-17,-17,-22,-188,180,forward,0,0,811.0,1.1533233055882541,103.89427413508112
11:17:56,1.15324433,103.89435783,0,0,0,0,-22,-17,-17,-22,-188,180,forward,0,0,811.0,1.153323285588254,103.89427414508113
11:17:58,1.15324432,103.89435783,0,0,0,0,-22,-17,-17,-22,-188,180,forward,0,0,812.0,1.153323275588254,103.89427414508113
11:18:00,1.15324431,103.89435784,0,0,0,0,-22,-17,-17,-22,-188,180,forward,0,0,813.0,1.153323275588254,103.89427414508113
11:18:03,1.1532442999999999,103.89435784,0,0,0,0,-22,-17,-18,-23,-188,180,forward,0,0,813.0,1.153323255588254,103.89427415508112
11:18:05,1.15324429,103.89435784,0,0,0,0,-22,-18,-18,-23,-188,180,forward,0,0,814.0,1.153323245588254,103.89427415508112
11:18:07,1.15324428,103.89435785,0,0,0,0,-23,-18,-18,-23,-188,180,forward,0,0,815.0,1.1533232355882541,103.89427416508113
11:18:09,1.15324427,103.89435785,0,0,0,0,-23,-18,-18,-23,-188,180,forward,0,0,816.0,1.1533232255882542,103.89427416508113
11:18:11,1.15324427,103.89435785,0,0,0,0,-23,-18,-18,-23,-188,180,forward,0,0,816.0,1.1533232255882542,103.89427416508113
11:18:14,1.15324426,103.89435786,0,0,0,0,-23,-18,-18,-24,-188,180,forward,0,0,817.0,1.153323215588254,103.89427417508112
11:18:16,1.15324425,103.89435786,0,0,0,0,-23,-18,-19,-24,-188,180,forward,0,0,818.0,1.153323205588254,103.89427417508112
11:18:18,1.15324424,103.89435786,0,0,0,0,-24,-19,-19,-24,-188,180,forward,0,0,819.0,1.1533231955882541,103.89427417508112
11:18:27,1.6533388071438695,101.51929189617022,0,0,0,0,-25,-19,-20,-25,-188,180,forward,0,0,821.0,1.6534177627321236,101.51920819335608
11:18:29,1.1532442,103.89435788,0,0,0,0,-25,-19,-20,-25,-188,180,forward,0,0,822.0,1.1533231555882542,103.89427419508112
11:18:32,1.1532441900000001,103.89435788,0,0,0,0,-25,-20,-20,-25,-188,180,forward,0,0,823.0,1.1533231455882542,103.89427419508112
11:18:34,1.15324418,103.89435789,0,0,0,0,-25,-20,-20,-26,-188,180,forward,0,0,824.0,1.153323135588254,103.89427420508112
11:18:36,1.15324418,103.89435789,0,0,0,0,-26,-20,-20,-26,-188,180,forward,0,0,825.0,1.153323135588254,103.89427420508112
11:18:38,1.15324417,103.89435789,0,0,0,0,-26,-20,-21,-26,-188,180,forward,0,0,825.0,1.1533231255882541,103.89427420508112
11:18:40,1.15324417,103.89435789,0,0,0,0,-26,-20,-21,-26,-188,180,forward,0,0,825.0,1.1533231255882541,103.89427420508112
11:18:42,1.15324417,103.89435789,0,0,0,0,-26,-20,-21,-26,-188,180,forward,0,0,825.0,1.1533231255882541,103.89427420508112
11:18:44,1.15324417,103.89435789,0,0,0,0,-26,-20,-21,-26,-188,180,forward,0,0,825.0,1.1533231255882541,103.89427420508112
11:18:53,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
11:18:55,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
11:18:57,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
11:18:59,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
11:19:01,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
11:19:03,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
11:19:06,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
11:19:08,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
11:19:10,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
11:19:12,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
11:19:14,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
11:19:20,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
11:19:22,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
11:19:24,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
11:19:26,1.6533388071438695,101.51929189617022,0,0,0,0,0,0,0,0,0,180,forward,0,0,0,1.6532489756154576,101.51936379132371
