waktu,latitude,longitude,propeller_speed1,propeller_speed2,propeller_speed3,propeller_speed4,str1_target,str2_target,str3_target,str4_target,heading,heading_target,navigation_mode_text,position_error,dir_error,payout,lat_chute,long_chute
09:03:28,1.698873,101.436883,0,0,0,0,0,0,0,0,152,180,forward,0,0,0,1.6988392613215753,101.43681951887103
09:03:30,1.698874,101.436886,0,0,0,0,0,0,0,0,153,180,forward,0,0,0,1.698841373871619,101.43682193945942
09:03:32,1.698875,101.436888,0,0,0,0,0,0,0,0,153,180,forward,0,0,0,1.698842373871619,101.43682393945939
09:03:34,1.698876,101.43689,0,0,0,0,0,0,0,0,153,180,forward,0,0,0,1.698843373871619,101.43682593945937
09:03:37,1.698878,101.436891,0,0,0,0,0,0,0,0,153,180,forward,0,0,0,1.6988453738716192,101.4368269394593
09:03:39,1.698878,101.436893,0,0,0,0,0,0,0,0,153,180,forward,0,0,0,1.6988453738716192,101.43682893945929
09:03:41,1.698878,101.436894,0,0,0,0,0,0,0,0,154,180,forward,0,0,0,1.698846496359898,101.43682937956116
09:03:43,1.698879,101.436896,0,0,0,0,0,0,0,0,154,180,forward,0,0,0,1.6988474963598978,101.43683137956114
09:03:45,1.698879,101.436897,0,0,0,0,0,0,0,0,154,180,forward,0,0,0,1.6988474963598978,101.43683237956114
09:03:48,1.69888,101.436898,0,0,0,0,0,0,0,0,154,180,forward,0,0,0,1.6988484963598978,101.43683337956111
09:03:50,1.698881,101.436898,0,0,0,0,0,0,0,0,154,180,forward,0,0,0,1.698849496359898,101.43683337956107
09:03:52,1.698881,101.436898,0,0,0,0,0,0,0,0,155,180,forward,0,0,0,1.6988506284444904,101.43683283934696
09:03:54,1.698882,101.436899,0,0,0,0,0,0,0,0,155,180,forward,0,0,0,1.6988516284444903,101.43683383934693
09:03:56,1.698883,101.4369,0,0,0,0,0,0,0,0,155,180,forward,0,0,0,1.6988526284444903,101.43683483934689
09:03:58,1.698883,101.436901,0,0,0,0,0,0,0,0,155,180,forward,0,0,0,1.6988526284444903,101.4368358393469
09:04:00,1.698883,101.436902,0,0,0,0,0,0,0,0,155,180,forward,0,0,0,1.6988526284444903,101.4368368393469
09:04:03,1.698883,101.436904,0,0,0,0,0,0,0,0,156,180,forward,0,0,0,1.698853769780553,101.43683831898134
09:04:05,1.698885,101.436905,0,0,0,0,0,0,0,0,156,180,forward,0,0,0,1.698855769780553,101.43683931898128
09:04:07,1.698886,101.436906,0,0,0,0,0,0,0,0,156,180,forward,0,0,0,1.698856769780553,101.43684031898124
09:04:09,1.698887,101.436907,0,0,0,0,0,0,0,0,156,180,forward,0,0,0,1.6988577697805531,101.43684131898122
09:04:11,1.698888,101.436907,0,0,0,0,0,0,0,0,156,180,forward,0,0,0,1.698858769780553,101.43684131898118
09:04:14,1.698889,101.436907,0,0,0,0,0,0,0,0,157,180,forward,0,0,0,1.6988609200204239,101.43684081862268
09:04:16,1.698889,101.436908,0,0,0,0,0,0,0,0,156,180,forward,0,0,0,1.6988597697805532,101.43684231898115
09:04:18,1.698889,101.436909,0,0,0,0,0,0,0,0,156,180,forward,0,0,0,1.6988597697805532,101.43684331898115
09:04:20,1.69889,101.43691,0,0,0,0,0,0,0,0,157,180,forward,0,0,0,1.6988619200204238,101.43684381862263
09:04:22,1.698891,101.43691,0,0,0,0,0,0,0,0,157,180,forward,0,0,0,1.6988629200204237,101.4368438186226
09:04:24,1.698892,101.436911,0,0,0,0,0,0,0,0,157,180,forward,0,0,0,1.6988639200204239,101.43684481862257
09:04:26,1.698892,101.436912,0,0,0,0,0,0,0,0,158,180,forward,0,0,0,1.6988650788137283,101.4368453384236
09:04:37,1.698894,101.436912,0,0,0,0,0,0,0,0,157,180,forward,0,0,0,1.6988659200204237,101.43684581862252
09:04:39,1.698894,101.436912,0,0,0,0,0,0,0,0,158,180,forward,0,0,0,1.6988670788137281,101.43684533842352
09:04:41,1.698894,101.436911,0,0,0,0,0,0,0,0,158,180,forward,0,0,0,1.6988670788137281,101.43684433842351
09:04:43,1.698893,101.43691,0,0,0,0,0,0,0,0,158,180,forward,0,0,0,1.6988660788137282,101.43684333842356
09:04:46,1.698892,101.43691,0,0,0,0,0,0,0,0,158,180,forward,0,0,0,1.6988650788137283,101.43684333842359
09:04:48,1.698892,101.436909,0,0,0,0,0,0,0,0,158,180,forward,0,0,0,1.6988650788137283,101.43684233842359
09:04:50,1.698891,101.436909,0,0,0,0,0,0,0,0,158,180,forward,0,0,0,1.6988640788137281,101.43684233842363
09:04:52,1.698891,101.436909,0,0,0,0,0,0,0,0,158,180,forward,0,0,0,1.6988640788137281,101.43684233842363
09:04:54,1.69889,101.436909,0,0,0,0,0,0,0,0,158,180,forward,0,0,0,1.6988630788137282,101.43684233842366
09:04:56,1.698889,101.43691,0,0,0,0,0,0,0,0,158,180,forward,0,0,0,1.6988620788137283,101.4368433384237
09:04:58,1.698889,101.43691,0,0,0,0,0,0,0,0,158,180,forward,0,0,0,1.6988620788137283,101.4368433384237
09:05:01,1.698889,101.436911,0,0,0,0,0,0,0,0,158,180,forward,0,0,0,1.6988620788137283,101.4368443384237
