waktu,latitude,longitude,propeller_speed1,propeller_speed2,propeller_speed3,propeller_speed4,str1_target,str2_target,str3_target,str4_target,heading,heading_target,navigation_mode_text,position_error,dir_error,payout,lat_chute,long_chute
09:10:54,1.698554,101.436379,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.698483226571484,101.43636651524935
09:10:56,1.698554,101.436379,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.698483226571484,101.43636651524935
09:10:59,1.698553,101.436379,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.698482226571484,101.43636651524935
09:11:01,1.698552,101.436379,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.6984812265714841,101.43636651524936
09:11:03,1.698552,101.436379,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.6984812265714841,101.43636651524936
09:11:05,1.698552,101.43638,0,0,0,0,0,0,0,0,99,180,forward,0,0,0,1.6984810195574158,101.43636875286045
09:11:07,1.698552,101.43638,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.6984812265714841,101.43636751524936
09:11:09,1.698552,101.436381,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.6984812265714841,101.43636851524936
09:11:12,1.698553,101.436382,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.698482226571484,101.43636951524934
09:11:14,1.698553,101.436382,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.698482226571484,101.43636951524934
09:11:16,1.698554,101.436383,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.698483226571484,101.43637051524935
09:11:18,1.698554,101.436384,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.698483226571484,101.43637151524935
09:11:20,1.698555,101.436385,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.6984842265714841,101.43637251524933
09:11:22,1.698555,101.436386,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.6984842265714841,101.43637351524933
09:11:25,1.698555,101.436387,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.6984842265714841,101.43637451524933
09:11:27,1.698555,101.436389,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.6984842265714841,101.43637651524934
09:11:29,1.698555,101.43639,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.6984842265714841,101.43637751524933
09:11:31,1.698556,101.436391,0,0,0,0,0,0,0,0,101,180,forward,0,0,0,1.698485455143824,101.43637728144121
09:11:33,1.698557,101.436392,0,0,0,0,0,0,0,0,100,180,forward,0,0,0,1.6984862265714842,101.43637951524931
09:11:36,1.698557,101.436393,0,0,0,0,0,0,0,0,101,180,forward,0,0,0,1.6984864551438241,101.4363792814412
09:11:38,1.698557,101.436395,0,0,0,0,0,0,0,0,101,180,forward,0,0,0,1.6984864551438241,101.43638128144121
09:11:40,1.698557,101.436397,0,0,0,0,0,0,0,0,101,180,forward,0,0,0,1.6984864551438241,101.43638328144121
09:11:42,1.698557,101.436399,0,0,0,0,0,0,0,0,101,180,forward,0,0,0,1.6984864551438241,101.4363852814412
09:11:44,1.698558,101.436401,0,0,0,0,0,0,0,0,101,180,forward,0,0,0,1.698487455143824,101.4363872814412
09:11:47,1.698559,101.436403,0,0,0,0,0,0,0,0,102,180,forward,0,0,0,1.6984887052048108,101.43638805181189
09:11:49,1.69856,101.436404,0,0,0,0,0,0,0,0,101,180,forward,0,0,0,1.698489455143824,101.43639028144118
09:11:51,1.698561,101.436406,0,0,0,0,0,0,0,0,102,180,forward,0,0,0,1.6984907052048108,101.43639105181188
